Date,Open,High,Low,Close,Volume
15/12/17,722,728,717.200012,718.799988,382948
18/12/17,719.049988,726,681,720.25,513480
19/12/17,722,731,722,727,339666
20/12/17,729.950012,739.900024,725.349976,732.349976,829782
21/12/17,736,740.5,731,736.049988,477379
22/12/17,739,744.799988,731.25,734.599976,640764
26/12/17,734.049988,739.049988,729,731.900024,500972
27/12/17,732.049988,746,728,736.299988,1127030
28/12/17,738.049988,740.349976,728.5,730.650024,652606
29/12/17,733.950012,736.5,728.099976,731.549988,583611
01/01/18,731.549988,735.400024,723,726,186817
02/01/18,727,739.700012,713.849976,730.099976,628104
03/01/18,745.700012,766.599976,739.049988,755.900024,3451560
04/01/18,756.5,762.5,750.599976,754.400024,899967
05/01/18,756,762.799988,748.200012,757.599976,844578
08/01/18,760,772,754.200012,767.099976,1412638
09/01/18,769.950012,780,762.650024,765.450012,1207526
10/01/18,768,768.700012,758,762.950012,441435
11/01/18,769,782,763,771,1727245
12/01/18,774,779.5,755.5,764.650024,1047722
15/01/18,769.650024,774.349976,759.25,766.5,733501
16/01/18,767,769.400024,736.25,740.950012,698181
17/01/18,740.950012,751.5,719.25,749.599976,606200
18/01/18,755,758,716.549988,728.650024,1019204
19/01/18,731.450012,734.900024,717.200012,724.650024,644579
22/01/18,728,739,719,735.799988,837925
23/01/18,740,741.049988,727.150024,732.599976,380662
24/01/18,734,734.5,721.950012,729.200012,402364
25/01/18,730,734.200012,713.950012,717.299988,1308813
29/01/18,720.049988,727.400024,718,720.549988,299763
30/01/18,721,722.049988,709.400024,714.650024,303621
31/01/18,713.799988,722,708.650024,719,926013
01/02/18,721.700012,726,707.049988,718.950012,1158653
02/02/18,712,713.849976,680.299988,692.25,1223666
05/02/18,682,700,662.049988,695.450012,886221
06/02/18,671.200012,699.700012,658.049988,686.200012,927501
07/02/18,697,704.25,678.5,680.849976,790565
08/02/18,685.950012,712,681.099976,708.150024,1469372
09/02/18,698.099976,705.799988,692.049988,700.75,1210510
12/02/18,704,719.299988,696.200012,715.5,641361
14/02/18,718.900024,723,710.75,714.5,777282
15/02/18,715,727.349976,710.299988,719,946599
16/02/18,722,726.700012,704.849976,718.650024,875430
19/02/18,721,721.349976,701.099976,710.349976,339606
20/02/18,710.799988,715,700,704.25,602741
21/02/18,706,709.349976,695.599976,699.75,752851
